state_or_territory,population_estimate_for_july_1_2013_number,census_population_april_1_2010_number,census_population_april_1_2000_number
California,38332521,37253956,33871648
Texas,26448193,25145561,20851820
New York,19651127,19378102,18976457
Florida,19552860,18801310,15982378
Illinois,12882135,12830632,12419293
Pennsylvania,12773801,12702379,12281054
Ohio,11570808,11536504,11353140
Georgia,9992167,9687653,8186453
Michigan,9895622,9883640,9938444
North Carolina,9848060,9535483,8049313
New Jersey,8899339,8791894,8414350
Virginia,8260405,8001024,7078515
Washington,6971406,6724540,5894121
Massachusetts,6692824,6547629,6349097
Arizona,6626624,6392017,5130632
Indiana,6570902,6483802,6080485
Tennessee,6495978,6346105,5689283
Missouri,6044171,5988927,5595211
Maryland,5928814,5773552,5296486
Wisconsin,5742713,5686986,5363675
Minnesota,5420380,5303925,4919479
Colorado,5268367,5029196,4301261
Alabama,4833722,4779736,4447100
South Carolina,4774839,4625364,4012012
Louisiana,4625470,4533372,4468976
Kentucky,4395295,4339367,4041769
Oregon,3930065,3831074,3421399
Oklahoma,3850568,3751351,3450654
Puerto Rico,3615086,3725789,3808610
Connecticut,3596080,3574097,3405565
Iowa,3090416,3046355,2926324
Mississippi,2991207,2967297,2844658
Arkansas,2959373,2915918,2673400
Utah,2900872,2763885,2233169
Kansas,2893957,2853118,2688418
Nevada,2790136,2700551,1998257
New Mexico,2085287,2059179,1819046
Nebraska,1868516,1826341,1711263
West Virginia,1854304,1852994,1808344
Idaho,1612136,1567582,1293953
Hawaii,1404054,1360301,1211537
Maine,1328302,1328361,1274923
New Hampshire,1323459,1316470,1235786
Rhode Island,1051511,1052567,1048319
Montana,1015165,989415,902195
Delaware,925749,897934,783600
South Dakota,844877,814180,754844
Alaska,735132,710231,626932
North Dakota,723393,672591,642200
District of Columbia,646449,601723,572059
Vermont,626630,625741,608827
Wyoming,582658,563626,493782
Guam,,159358; 1,154805
U.S. Virgin Islands,,106405; 2,108612
American Samoa,,55519; 3,57291
Northern Mariana Islands,,53883; 4,69221
